customer_id,firstname,lastname,age,branch_id,branch_name,account_id,account_type,account_opening_date,has_account
43,Joshua,Oppermann,84,46,Trondheim,43,current,2001-04-07,True
65,Patricia,Stark,56,23,Warsaw,65,savings,2012-02-21,True
79,Deborah,Will,84,78,Belgrade,79,current,2001-01-06,True
95,Mark,Steinert,86,32,Geneva,95,savings,2024-11-03,True
114,Carol,Eberhardt,23,33,Ghent,114,savings,2002-07-02,True
120,Linda,Steinke,57,69,Doha,120,savings,2024-03-25,True
122,Kimberly,Kirchner,82,48,Rotterdam,122,current,2011-04-04,True
140,James,Gebauer,50,15,Zagreb,140,savings,2018-10-20,True
142,Sandra,Binder,79,5,Bergen,142,savings,2004-11-14,True
150,Carol,Ewert,20,54,Cologne,150,savings,2011-09-05,True
189,Kenneth,Bock,54,80,Bucharest,189,savings,2004-11-09,True
219,Betty,Schaper,35,53,Tokyo,219,current,2004-11-23,True
220,Daniel,Eberhardt,48,78,Belgrade,220,current,1995-02-14,True
233,William,Seibert,20,6,Hamburg,233,current,2000-01-26,True
255,Christopher,Wulf,77,36,Naples,255,savings,2016-02-18,True
271,Donald,Augustin,71,25,Odessa,271,savings,2015-10-14,True
283,Barbara,Lenz,82,72,Jeddah,283,current,2024-09-02,True
321,Steven,Adler,22,1,Lyon,321,current,1995-03-26,True
332,Barbara,Möller,67,30,Budapest,332,savings,2012-06-17,True
348,Timothy,Wörner,46,57,Antwerp,348,current,1996-07-07,True
358,Betty,Hildebrandt,39,6,Hamburg,358,savings,2022-01-02,True
365,Paul,Schuler,33,75,Milan,365,current,2011-06-07,True
372,Steven,Steffen,49,99,Bangkok,372,savings,2014-09-04,True
396,Thomas,Wiegand,29,73,Lille,396,savings,2018-05-18,True
408,Matthew,Paulsen,36,44,Valencia,408,current,1995-02-26,True
414,Sarah,Funk,18,23,Warsaw,414,current,2021-01-28,True
427,Daniel,Eichhorn,25,31,Barcelona,427,savings,1998-08-24,True
431,Lisa,Jordan,86,11,Skopje,431,savings,2014-06-20,True
465,David,Steinke,70,77,Copenhagen,465,savings,2021-02-23,True
498,Jessica,Mangold,22,74,Kuwait City,498,current,2008-12-18,True
528,Anthony,Jacobi,37,65,Yerevan,528,current,2011-09-18,True
536,Kevin,Stadler,55,47,The Hague,536,savings,2022-09-25,True
549,Donald,Engelhardt,88,61,Brussels,549,savings,1998-09-07,True
579,Ronald,Pfaff,96,80,Bucharest,579,savings,2024-07-28,True
609,Barbara,Stumpf,28,34,Gothenburg,609,savings,2011-06-10,True
630,Brian,Siebert,68,95,Prague,630,current,2014-09-06,True
655,Stephanie,Paulsen,71,56,Riga,655,current,2014-08-09,True
656,Anthony,Maaß,97,30,Budapest,656,current,2003-04-18,True
657,Mary,Sachs,57,64,Luxembourg,657,current,1995-09-24,True
