loan_id,customer_id,firstname,lastname,age,branch_id,branch_name,account_id,account_type,account_opening_date,has_account,loan_type,loan_amount,interest_rate,loan_term,loan_status,approval_rejection_date
43,43,Joshua,Oppermann,84,46,Trondheim,43,current,2001-04-07,True,personal,46528.03,0.0041,36,approved,2020-02-20
65,65,Patricia,Stark,56,23,Warsaw,65,savings,2012-02-21,True,personal,20866.44,0.0422,48,rejected,2020-02-03
79,79,Deborah,Will,84,78,Belgrade,79,current,2001-01-06,True,mortgage,35050.1,0.0093,12,closed,2022-05-05
95,95,Mark,Steinert,86,32,Geneva,95,savings,2024-11-03,True,mortgage,18052.2,0.0065,48,closed,2021-06-18
114,114,Carol,Eberhardt,23,33,Ghent,114,savings,2002-07-02,True,auto,1673.72,0.0249,24,closed,2022-06-14
120,120,Linda,Steinke,57,69,Doha,120,savings,2024-03-25,True,personal,44370.37,0.0086,24,closed,2021-09-28
122,122,Kimberly,Kirchner,82,48,Rotterdam,122,current,2011-04-04,True,mortgage,44247.28,0.0083,48,approved,2020-11-04
140,140,James,Gebauer,50,15,Zagreb,140,savings,2018-10-20,True,auto,33988.46,0.0202,36,closed,2022-01-05
142,142,Sandra,Binder,79,5,Bergen,142,savings,2004-11-14,True,personal,8750.37,0.0121,36,approved,2020-08-10
150,150,Carol,Ewert,20,54,Cologne,150,savings,2011-09-05,True,auto,46130.27,0.0232,24,approved,2020-11-22
189,189,Kenneth,Bock,54,80,Bucharest,189,savings,2004-11-09,True,auto,28275.16,0.0523,24,closed,2022-02-23
219,219,Betty,Schaper,35,53,Tokyo,219,current,2004-11-23,True,auto,7751.96,0.0031,12,closed,2022-09-09
220,220,Daniel,Eberhardt,48,78,Belgrade,220,current,1995-02-14,True,mortgage,28052.37,0.01,36,approved,2022-09-11
233,233,William,Seibert,20,6,Hamburg,233,current,2000-01-26,True,auto,41556.36,0.0437,48,rejected,2022-05-05
255,255,Christopher,Wulf,77,36,Naples,255,savings,2016-02-18,True,auto,2110.09,0.031,12,closed,2022-09-03
271,271,Donald,Augustin,71,25,Odessa,271,savings,2015-10-14,True,auto,24933.15,0.047,60,approved,2022-09-13
283,283,Barbara,Lenz,82,72,Jeddah,283,current,2024-09-02,True,auto,44849.62,0.024,36,approved,2020-11-25
321,321,Steven,Adler,22,1,Lyon,321,current,1995-03-26,True,personal,38486.39,0.0227,36,approved,2020-11-08
332,332,Barbara,Möller,67,30,Budapest,332,savings,2012-06-17,True,mortgage,45302.92,0.0342,12,rejected,2021-12-16
348,348,Timothy,Wörner,46,57,Antwerp,348,current,1996-07-07,True,auto,35146.96,0.0225,48,closed,2021-06-13
358,358,Betty,Hildebrandt,39,6,Hamburg,358,savings,2022-01-02,True,auto,39359.67,0.0441,12,approved,2021-02-05
365,365,Paul,Schuler,33,75,Milan,365,current,2011-06-07,True,auto,32188.77,0.0398,24,rejected,2022-01-08
372,372,Steven,Steffen,49,99,Bangkok,372,savings,2014-09-04,True,mortgage,37556.03,0.0244,24,approved,2021-03-09
396,396,Thomas,Wiegand,29,73,Lille,396,savings,2018-05-18,True,personal,17146.57,0.0433,24,closed,2021-02-05
408,408,Matthew,Paulsen,36,44,Valencia,408,current,1995-02-26,True,auto,18759.95,0.0387,36,closed,2020-02-27
414,414,Sarah,Funk,18,23,Warsaw,414,current,2021-01-28,True,auto,42665.85,0.0311,24,closed,2021-07-09
427,427,Daniel,Eichhorn,25,31,Barcelona,427,savings,1998-08-24,True,personal,18582.98,0.0398,48,closed,2020-07-04
431,431,Lisa,Jordan,86,11,Skopje,431,savings,2014-06-20,True,mortgage,27102.45,0.0315,60,rejected,2020-01-16
465,465,David,Steinke,70,77,Copenhagen,465,savings,2021-02-23,True,personal,43399.25,0.0167,36,approved,2021-03-27
498,498,Jessica,Mangold,22,74,Kuwait City,498,current,2008-12-18,True,personal,31796.97,0.0188,60,closed,2022-02-17
528,528,Anthony,Jacobi,37,65,Yerevan,528,current,2011-09-18,True,personal,23016.04,0.0233,12,approved,2020-02-05
536,536,Kevin,Stadler,55,47,The Hague,536,savings,2022-09-25,True,personal,37325.65,0.0136,60,approved,2021-11-07
549,549,Donald,Engelhardt,88,61,Brussels,549,savings,1998-09-07,True,personal,15419.74,0.0211,36,rejected,2020-02-25
579,579,Ronald,Pfaff,96,80,Bucharest,579,savings,2024-07-28,True,mortgage,44470.69,0.0062,12,closed,2020-06-04
609,609,Barbara,Stumpf,28,34,Gothenburg,609,savings,2011-06-10,True,personal,31863.0,0.0342,24,rejected,2020-10-03
630,630,Brian,Siebert,68,95,Prague,630,current,2014-09-06,True,mortgage,23140.05,0.0178,12,rejected,2022-08-29
655,655,Stephanie,Paulsen,71,56,Riga,655,current,2014-08-09,True,mortgage,33880.86,0.0367,36,closed,2022-09-05
656,656,Anthony,Maaß,97,30,Budapest,656,current,2003-04-18,True,personal,3351.81,0.0158,60,rejected,2022-12-24
657,657,Mary,Sachs,57,64,Luxembourg,657,current,1995-09-24,True,personal,1227.69,0.0243,24,rejected,2022-02-07
658,658,Robert,Böhme,29,67,Kiev,658,current,2018-12-07,True,personal,30106.08,0.0541,24,approved,2021-08-12
659,659,Mark,Riemer,35,20,Vilnius,659,savings,2010-11-09,True,mortgage,48848.47,0.0584,60,closed,2021-07-23
693,693,Joshua,Ruppert,32,61,Brussels,693,current,2020-09-02,True,personal,4277.23,0.0275,60,rejected,2022-01-07
706,706,Brian,Bischoff,38,96,Reykjavik,706,savings,2006-05-04,True,personal,37624.25,0.0032,60,rejected,2021-09-02
729,729,Barbara,Winkler,35,7,London,729,current,1996-11-08,True,mortgage,6799.72,0.0409,12,approved,2022-09-12
735,735,Barbara,Graf,70,38,Stuttgart,735,current,1999-03-23,True,mortgage,5722.22,0.0226,48,rejected,2020-10-15
776,776,Timothy,Reitz,44,5,Bergen,776,savings,2002-12-23,True,auto,38298.83,0.0202,48,rejected,2021-05-27
777,777,Ronald,Wunderlich,98,77,Copenhagen,777,current,2008-05-19,True,personal,39608.69,0.0439,36,closed,2022-10-16
778,778,William,Kahl,80,6,Hamburg,778,current,2015-03-01,True,mortgage,4647.43,0.0525,12,closed,2021-06-22
780,780,Sandra,Schiller,42,33,Ghent,780,current,2010-03-14,True,personal,48401.13,0.0358,12,rejected,2020-03-11
818,818,Michelle,Beyer,85,89,Rome,818,current,2019-02-26,True,auto,45263.22,0.0498,60,rejected,2022-01-23
832,832,Robert,Heuer,48,90,Bratislava,832,current,2010-10-11,True,personal,3735.47,0.0373,12,approved,2021-07-02
874,874,Jennifer,Kunert,31,24,Cairo,874,savings,2017-02-01,True,personal,30182.77,0.0324,60,closed,2022-01-06
882,882,Daniel,Finke,35,4,Amsterdam,882,current,2024-09-17,True,auto,33670.83,0.0023,48,rejected,2020-08-25
959,959,Joseph,Ebert,60,25,Odessa,959,savings,2003-03-17,True,mortgage,20941.49,0.06,12,rejected,2021-05-15
970,970,Matthew,Paulsen,83,48,Rotterdam,970,savings,2020-05-08,True,mortgage,34176.65,0.0579,24,closed,2022-04-11
971,971,Thomas,Kroll,66,92,Seoul,971,savings,2010-03-18,True,auto,11024.89,0.024,24,rejected,2022-06-17
976,976,Elizabeth,Dittmann,22,61,Brussels,976,current,2014-07-03,True,mortgage,19914.69,0.0053,36,approved,2021-04-04
986,986,Timothy,Kunze,62,20,Vilnius,986,savings,2023-12-16,True,mortgage,39423.79,0.0539,36,closed,2022-07-31
1010,1010,Ashley,Lerch,48,99,Bangkok,1010,savings,2007-04-11,True,mortgage,39787.71,0.0289,36,rejected,2022-07-12
1045,1045,Steven,Wegener,97,86,Sydney,1045,current,2009-09-26,True,mortgage,20803.43,0.057,48,closed,2021-05-26
1051,1051,Sandra,Schaller,58,24,Cairo,1051,current,2003-06-16,True,auto,34979.28,0.0559,12,rejected,2022-11-24
1062,1062,Stephanie,Ortmann,96,24,Cairo,1062,savings,2007-10-21,True,mortgage,13759.65,0.0103,60,closed,2020-11-15
